signal1,
7.63893640985,
7.74676528449,
7.77860559729,
7.99363333994,
7.77340717204,
7.83252275798,
8.39384623211,
8.94797067886,
9.28694101594,
9.07833230538,
8.98485678654,
9.53683961588,
10.468479262,
11.6695887638,
11.261198281,
9.93910290504,
9.92598631772,
10.2928596051,
10.4675142526,
10.2603797181,
10.3857970839,
9.76738200758,
10.0497265917,
9.88319494728,
8.92567576975,
7.87923806449,
8.5392632317,
9.11947062347,
7.68704480767,
8.6082823182,
9.04917921487,
9.00323936296,
8.07230641499,
6.71618287239,
6.11645936542,
5.68116936918,
6.47550249596,
5.53795543546,
4.7504122519,
6.17656966725,
7.25565364615,
8.05454781472,
9.11600963905,
9.86366590528,
11.659890699,
11.9806774569,
12.019723471,
13.2003839062,
15.0038003671,
14.4399649959,
13.8649204123,
13.6058259828,
12.4954077748,
12.3270566808,
12.1405602995,
13.7785008237,
15.0301508776,
14.5456764469,
15.715242743,
16.0352765659,
16.3917175508,
16.325601298,
15.8689878714,
16.6402040743,
18.6140388932,
18.6894737381,
18.5279111769,
18.2469579498,
18.2173144561,
17.6188099451,
17.6487691282,
18.3177485185,
18.324619271
 -0.220962825977,
 -0.328831775519,
 0.015903135472,
 0.305367653636,
 0.0651299802218,
 -0.0383836409483,
 0.411901575759,
 0.000894104839153,
 -0.106284566888,
 -0.0132370511102,
 -0.401445067148,
 0.494561320867,
 -0.0192505241521,
 0.1794207887,
 -0.250841229959,
 0.101521117722,
 0.0641238373619,
 -0.000146332884212,
 -0.108105036018,
 -0.216921467911,
 -0.0417860525232,
 -0.17721070626,
 0.0531890714327,
 0.0131129900918,
 0.00239004584458,
 -0.0680884474378,
 0.116870513093,
 0.533777046445,
 0.0678105930798,
 -0.169241675573,
 0.362300803151,
 0.100157593376,
 -0.0984385103085,
 0.0768709053933,
 -0.238127391514,
 0.165555611888,
 0.260149312247,
 0.154002745025,
 -0.317708827046,
 0.0535068458337,
 -0.537271414117,
 0.392087891506,
 -0.923123166197,
 0.413391712648,
 0.011838414488,
 -0.305878746591,
 -0.368260765986,
 -0.0209941791741,
 0.358643435009,
 -0.0813817618535,
 -0.0741138884792,
 0.0202203387267,
 0.0209589623901,
 -0.0238450678975,
 -0.189678501438,
 -0.0137206029646,
 0.132788435797,
 -0.411347706676,
 0.319406308077,
 -0.242892098572,
 -0.225348335941,
 0.0518948257057,
 -0.602223230256,
 0.237684640743,
 -0.0743566145125,
 0.114557229213,
 -0.0204470539153,
 -0.119947241915,
 0.166548138292,
 -0.0792748045499,
 -0.0948569630195,